name	type	latlon
Legal	wifi	"37.19322514,-93.40721567"
Sales	wifi	"37.24490637,-93.37484694"
Business Development	wifi	"37.3345859,-93.35848841"
Research and Development	wifi	"37.13327618,-93.19521494"
Marketing	wifi	"37.28414852,-93.4082817"
Product Management	wifi	"37.12801336,-93.16504614"
Training	wifi	"37.17176492,-93.38876531"
Product Management	wifi	"37.14724968,-93.16660716"
Product Management	wifi	"37.20434004,-93.28483098"
Human Resources	wifi	"37.18628842,-93.21859443"
Engineering	wifi	"37.13243677,-93.14728315"
Marketing	wifi	"37.23956988,-93.457152"
Accounting	wifi	"37.18148194,-93.27111666"
Sales	wifi	"37.19519462,-93.40421632"
Training	wifi	"37.27796571,-93.17182737"
Business Development	wifi	"37.24109119,-93.22267676"
Engineering	wifi	"37.14859451,-93.41652254"
Legal	wifi	"37.34205277,-93.35719196"
Legal	wifi	"37.1664872,-93.36055054"
Engineering	wifi	"37.11418113,-93.22268202"
Support	wifi	"37.30140304,-93.37498292"
Training	wifi	"37.18709079,-93.21544764"
Legal	wifi	"37.12086701,-93.33234095"
Legal	wifi	"37.083463,-93.30548704"
Services	wifi	"37.26985927,-93.21138325"
Training	wifi	"37.29987169,-93.19166996"
Sales	wifi	"37.10999049,-93.23711683"
Legal	wifi	"37.08614245,-93.34866856"
Services	wifi	"37.29674247,-93.34938461"
Product Management	wifi	"37.15277171,-93.21710821"
Engineering	wifi	"37.25218085,-93.21235604"
Human Resources	wifi	"37.15916398,-93.3234751"
Training	wifi	"37.17366051,-93.25957036"
Marketing	wifi	"37.23743209,-93.19874111"
Sales	wifi	"37.32454451,-93.3614205"
Accounting	wifi	"37.24415094,-93.23668755"
Legal	wifi	"37.25575432,-93.41070742"
Product Management	wifi	"37.0827629,-93.32736681"
Support	wifi	"37.10822,-93.40362004"
Human Resources	wifi	"37.26851782,-93.33754495"
Sales	wifi	"37.13763006,-93.22488803"
Support	wifi	"37.15293691,-93.23271577"
Accounting	wifi	"37.14383396,-93.30560081"
Research and Development	wifi	"37.11144489,-93.28318601"
Services	wifi	"37.13938236,-93.21260457"
Legal	wifi	"37.15322362,-93.3471981"
Research and Development	wifi	"37.14405779,-93.1721801"
Training	wifi	"37.25377404,-93.12039166"
Legal	wifi	"37.20707815,-93.25649751"
Support	wifi	"37.20343318,-93.37484431"
Research and Development	wifi	"37.13135186,-93.19143198"
Support	wifi	"37.30789695,-93.24726381"
Human Resources	wifi	"37.21292477,-93.28959764"
Services	wifi	"37.25350963,-93.31369327"
Legal	wifi	"37.15406494,-93.16897675"
Human Resources	wifi	"37.10421947,-93.16749646"
Sales	wifi	"37.1850836,-93.2169339"
Research and Development	wifi	"37.29068161,-93.43814016"
Human Resources	wifi	"37.11834831,-93.36525873"
Legal	wifi	"37.24864406,-93.36800466"
Support	wifi	"37.16187101,-93.14631686"
Support	wifi	"37.22237749,-93.40143427"
Research and Development	wifi	"37.29326466,-93.27715551"
Engineering	wifi	"37.1027256,-93.26487164"
Legal	wifi	"37.21603232,-93.4718905"
Human Resources	wifi	"37.17219226,-93.33183509"
Engineering	wifi	"37.1271365,-93.40180468"
Training	wifi	"37.27625899,-93.21350079"
Engineering	wifi	"37.13224437,-93.16598008"
Product Management	wifi	"37.31777299,-93.29408877"
Training	wifi	"37.32854715,-93.32869402"
Business Development	wifi	"37.31042842,-93.20069156"
Services	wifi	"37.2312153,-93.21667227"
Research and Development	wifi	"37.09091862,-93.36364502"
Business Development	wifi	"37.20497464,-93.19234573"
Legal	wifi	"37.14093875,-93.22664383"
Legal	wifi	"37.17892631,-93.25350917"
Services	wifi	"37.27287224,-93.40308943"
Product Management	wifi	"37.17212261,-93.39018849"
Human Resources	wifi	"37.29307692,-93.20121323"
Sales	wifi	"37.23649044,-93.13095845"
Services	wifi	"37.29190502,-93.43422512"
Training	wifi	"37.29893813,-93.26940162"
Sales	wifi	"37.32584766,-93.28530026"
Engineering	wifi	"37.07598743,-93.31181089"
Human Resources	wifi	"37.14258831,-93.37209774"
Support	wifi	"37.28876632,-93.39315565"
Product Management	wifi	"37.31771358,-93.18053049"
Research and Development	wifi	"37.28004615,-93.38556992"
Marketing	wifi	"37.25585065,-93.4131291"
Engineering	wifi	"37.25577517,-93.35930416"
Marketing	wifi	"37.29821845,-93.26561532"
Business Development	wifi	"37.1373364,-93.43111753"
Engineering	wifi	"37.2722852,-93.32975705"
Services	wifi	"37.17479584,-93.34790266"
Business Development	wifi	"37.15657968,-93.28690363"
Support	wifi	"37.23077656,-93.4219288"
Engineering	wifi	"37.19250731,-93.39051335"
Sales	wifi	"37.15766434,-93.24745963"
Research and Development	wifi	"37.19892735,-93.39383085"
Accounting	wifi	"37.2639279,-93.25353185"
Training	wifi	"37.22369132,-93.3934202"
Engineering	wifi	"37.32500825,-93.34383198"
Training	wifi	"37.11299745,-93.25910826"
Research and Development	wifi	"37.28660265,-93.31657368"
Legal	wifi	"37.15747956,-93.43688225"
Human Resources	wifi	"37.09105836,-93.28271727"
Legal	wifi	"37.10112557,-93.3406874"
Services	wifi	"37.13528623,-93.24847006"
Accounting	wifi	"37.28166988,-93.42272982"
Business Development	wifi	"37.07086387,-93.27865581"
Human Resources	wifi	"37.25669732,-93.21777327"
Human Resources	wifi	"37.17537635,-93.33487122"
Research and Development	wifi	"37.10680012,-93.3976695"
Sales	wifi	"37.24183214,-93.42555837"
Training	wifi	"37.14419828,-93.40780659"
Engineering	wifi	"37.20579142,-93.42960272"
Marketing	wifi	"37.2393683,-93.24722778"
Training	wifi	"37.26150999,-93.38475564"
Accounting	wifi	"37.24637115,-93.23416376"
Support	wifi	"37.18399747,-93.26681459"
Support	wifi	"37.07651885,-93.32774644"
Accounting	wifi	"37.20931923,-93.14083198"
Business Development	wifi	"37.1068666,-93.28837299"
Business Development	wifi	"37.32427685,-93.27591887"
Research and Development	wifi	"37.18897663,-93.31054674"
Human Resources	wifi	"37.25741983,-93.44725733"
Business Development	wifi	"37.14735141,-93.15797348"
Support	wifi	"37.22470467,-93.20092415"
Engineering	wifi	"37.27764701,-93.29684045"
Business Development	wifi	"37.27296885,-93.15679112"
Services	wifi	"37.24843492,-93.19910284"
Human Resources	wifi	"37.23051557,-93.44274444"
Services	wifi	"37.15001588,-93.36353605"
Training	wifi	"37.23942901,-93.45802228"
Product Management	wifi	"37.19290571,-93.13771863"
Research and Development	wifi	"37.1004233,-93.31692989"
Human Resources	wifi	"37.21354504,-93.33391569"
Support	wifi	"37.12833047,-93.40211345"
Human Resources	wifi	"37.23403676,-93.38863247"
Accounting	wifi	"37.22459645,-93.32935448"
Services	wifi	"37.29060313,-93.32253305"
Human Resources	wifi	"37.0771578,-93.27611332"
Training	wifi	"37.2968324,-93.21495916"
Services	wifi	"37.32248563,-93.2908111"
Sales	wifi	"37.20322646,-93.13595821"
Business Development	wifi	"37.13774758,-93.15298993"
Accounting	wifi	"37.28270562,-93.30150034"
Human Resources	wifi	"37.16388032,-93.186585"
Sales	wifi	"37.11363322,-93.36511603"
Legal	wifi	"37.17845951,-93.4536974"
Support	wifi	"37.27164283,-93.33454617"
Human Resources	wifi	"37.23360147,-93.17175629"
Business Development	wifi	"37.13310337,-93.23425685"
Research and Development	wifi	"37.29942491,-93.20945568"
Human Resources	wifi	"37.31838505,-93.3444584"
Training	wifi	"37.24674034,-93.23874632"
Marketing	wifi	"37.10189147,-93.27168266"
Support	wifi	"37.25380228,-93.25973683"
Training	wifi	"37.23776064,-93.45640365"
Research and Development	wifi	"37.15668874,-93.33190767"
Training	wifi	"37.09340214,-93.32836247"
Product Management	wifi	"37.27818849,-93.42924004"
Product Management	wifi	"37.2940138,-93.1656333"
Support	wifi	"37.28051336,-93.44244526"
Research and Development	wifi	"37.32599397,-93.29426651"
Services	wifi	"37.28712823,-93.26724965"
Business Development	wifi	"37.15834741,-93.42561736"
Marketing	wifi	"37.22917977,-93.22636573"
Business Development	wifi	"37.07119756,-93.2597928"
Research and Development	wifi	"37.14803172,-93.26867108"
Legal	wifi	"37.22489774,-93.28956359"
Marketing	wifi	"37.09855014,-93.39718553"
Marketing	wifi	"37.06973992,-93.28716752"
Engineering	wifi	"37.09897345,-93.3492273"
Accounting	wifi	"37.110199,-93.38396376"
Legal	wifi	"37.26448095,-93.28987593"
Marketing	wifi	"37.24190888,-93.36565413"
Research and Development	wifi	"37.10101493,-93.38893559"
Support	wifi	"37.15640305,-93.22096886"
Accounting	wifi	"37.22349114,-93.39608239"
Accounting	wifi	"37.19664724,-93.29461304"
Business Development	wifi	"37.24858054,-93.30707517"
Support	wifi	"37.18419198,-93.34253471"
Legal	wifi	"37.20032722,-93.2662807"
Sales	wifi	"37.18363416,-93.14324937"
Product Management	wifi	"37.27017132,-93.26527909"
Research and Development	wifi	"37.32684126,-93.20917398"
Sales	wifi	"37.28402667,-93.211471"
Marketing	wifi	"37.24098906,-93.23038532"
Support	wifi	"37.17987796,-93.3106341"
Marketing	wifi	"37.30211859,-93.38425141"
Human Resources	wifi	"37.2255791,-93.23335919"
Accounting	wifi	"37.23353134,-93.11819406"
Research and Development	wifi	"37.18476148,-93.32304778"
Business Development	wifi	"37.31669754,-93.18984605"
Services	wifi	"37.15830854,-93.24859017"
Training	wifi	"37.22466238,-93.1936784"
Engineering	wifi	"37.21278437,-93.46635141"
Human Resources	wifi	"37.14848024,-93.15699172"
Training	wifi	"37.14187483,-93.27245326"
Marketing	wifi	"37.10288645,-93.33756383"
Services	wifi	"37.31151532,-93.31460053"
Services	wifi	"37.24140897,-93.39011901"
Marketing	wifi	"37.31429729,-93.27708892"
Business Development	wifi	"37.16542076,-93.44158455"
Engineering	wifi	"37.19306004,-93.28518019"
Services	wifi	"37.3106891,-93.41132776"
Research and Development	wifi	"37.25747871,-93.4304596"
Human Resources	wifi	"37.2997102,-93.37462134"
Research and Development	wifi	"37.21018457,-93.24290606"
Human Resources	wifi	"37.13115683,-93.32173663"
Marketing	wifi	"37.11218934,-93.16256107"
Human Resources	wifi	"37.21980271,-93.34467322"
Engineering	wifi	"37.14311666,-93.33867464"
Training	wifi	"37.06947048,-93.31610054"
Support	wifi	"37.19298655,-93.17365273"
Marketing	wifi	"37.17889145,-93.32356184"
Accounting	wifi	"37.18562071,-93.4069241"
Support	wifi	"37.18554123,-93.40517789"
Human Resources	wifi	"37.1934547,-93.38603654"
Legal	wifi	"37.25550367,-93.22916488"
Engineering	wifi	"37.18452477,-93.2243314"
Business Development	wifi	"37.27614638,-93.37604283"
Legal	wifi	"37.31008038,-93.28543192"
Accounting	wifi	"37.27849574,-93.36209044"
Engineering	wifi	"37.13449785,-93.37146786"
Services	wifi	"37.29621357,-93.29867076"
Accounting	wifi	"37.1969376,-93.18414646"
Sales	wifi	"37.12569071,-93.38201767"
Support	wifi	"37.22926335,-93.21391658"
Business Development	wifi	"37.18630815,-93.28859871"
Accounting	wifi	"37.10489048,-93.16656373"
Product Management	wifi	"37.26508357,-93.24824073"
Sales	wifi	"37.23202953,-93.23209631"
Human Resources	wifi	"37.19893791,-93.36529728"
Legal	wifi	"37.17518913,-93.39787073"
Legal	wifi	"37.16827859,-93.41873719"
Engineering	wifi	"37.16341461,-93.21624196"
Business Development	wifi	"37.31861832,-93.20016856"
Services	wifi	"37.34188532,-93.27552269"
Training	wifi	"37.14102329,-93.37618518"
Product Management	wifi	"37.17209339,-93.16839667"
Support	wifi	"37.21981961,-93.26433764"
Services	wifi	"37.20431033,-93.43982178"
Services	wifi	"37.23528759,-93.31920627"
Product Management	wifi	"37.29396323,-93.14733676"
Support	wifi	"37.20711666,-93.33691153"
Marketing	wifi	"37.2954448,-93.28850169"
Research and Development	wifi	"37.22185874,-93.14069893"
Training	wifi	"37.24299107,-93.15000122"
Accounting	wifi	"37.3397174,-93.28113088"
Accounting	wifi	"37.2770159,-93.17927652"
Legal	wifi	"37.25918207,-93.44614097"
Research and Development	wifi	"37.15772201,-93.16563109"
Business Development	wifi	"37.21692692,-93.38153735"
Engineering	wifi	"37.25879568,-93.32775547"
Engineering	wifi	"37.24848289,-93.14378235"
Product Management	wifi	"37.08625037,-93.25893419"
Legal	wifi	"37.2998654,-93.38608207"
Marketing	wifi	"37.15238611,-93.13918837"
Legal	wifi	"37.29697923,-93.31012519"
Support	wifi	"37.32338822,-93.19470059"
Support	wifi	"37.10126448,-93.203244"
Sales	wifi	"37.17807033,-93.18240903"
Accounting	wifi	"37.23297646,-93.23209018"
Human Resources	wifi	"37.20207462,-93.46772856"
Sales	wifi	"37.32147934,-93.23807086"
Sales	wifi	"37.28135882,-93.20418291"
Human Resources	wifi	"37.14426945,-93.19473321"
Engineering	wifi	"37.1870941,-93.24115047"
Marketing	wifi	"37.21690948,-93.20516529"
Marketing	wifi	"37.23890597,-93.44491377"
Support	wifi	"37.28232786,-93.36799832"
Support	wifi	"37.28922439,-93.19184054"
Legal	wifi	"37.34531848,-93.34453871"
Legal	wifi	"37.29666588,-93.40432055"
Services	wifi	"37.12656291,-93.2939997"
Business Development	wifi	"37.19251589,-93.45488017"
Human Resources	wifi	"37.29262546,-93.19574193"
Product Management	wifi	"37.1612341,-93.21518307"
Sales	wifi	"37.2215115,-93.31575121"
Services	wifi	"37.32606401,-93.23827041"
Product Management	wifi	"37.22487474,-93.41103392"
Legal	wifi	"37.20807577,-93.15326384"
Engineering	wifi	"37.13987353,-93.21506758"
Training	wifi	"37.21724283,-93.14690055"
Research and Development	wifi	"37.22467191,-93.3681784"
Accounting	wifi	"37.30640493,-93.29196857"
Training	wifi	"37.29136217,-93.38145342"
Accounting	wifi	"37.27089503,-93.19434728"
Training	wifi	"37.15023067,-93.36906509"
Marketing	wifi	"37.32450838,-93.29021648"
Product Management	wifi	"37.29318101,-93.386058"
Research and Development	wifi	"37.28106889,-93.44384261"
Legal	wifi	"37.17381042,-93.38877709"
Training	wifi	"37.28937125,-93.25276939"
Human Resources	wifi	"37.07788299,-93.25879741"
Sales	wifi	"37.27842946,-93.20434805"
Business Development	wifi	"37.21348756,-93.13174496"
Sales	wifi	"37.13455896,-93.39236816"
Training	wifi	"37.32333141,-93.40153634"
Support	wifi	"37.26011393,-93.36259318"
Sales	wifi	"37.33824011,-93.24902122"
Training	wifi	"37.27152275,-93.40717682"
Services	wifi	"37.18680485,-93.13530152"
Marketing	wifi	"37.27797469,-93.19326518"
Research and Development	wifi	"37.13000112,-93.40624731"
Engineering	wifi	"37.22616182,-93.41836601"
Support	wifi	"37.15104657,-93.43241092"
Research and Development	wifi	"37.06659758,-93.30439411"
Research and Development	wifi	"37.1624224,-93.40778032"
Legal	wifi	"37.22380022,-93.38582493"
Accounting	wifi	"37.07521023,-93.35003762"
Accounting	wifi	"37.2793005,-93.41151593"
Sales	wifi	"37.2834541,-93.21766207"
Support	wifi	"37.16624288,-93.29659204"
Accounting	wifi	"37.17449024,-93.23251339"
Marketing	wifi	"37.1515753,-93.15062723"
Marketing	wifi	"37.22638262,-93.27789036"
Research and Development	wifi	"37.18183552,-93.2726"
Accounting	wifi	"37.24177568,-93.29619424"
Human Resources	wifi	"37.30011124,-93.42102674"
Legal	wifi	"37.18333141,-93.4272065"
Marketing	wifi	"37.27397949,-93.39367996"
Business Development	wifi	"37.17793106,-93.23809862"
Business Development	wifi	"37.20236161,-93.2803828"
Services	wifi	"37.1535263,-93.40789071"
Support	wifi	"37.15233847,-93.25069395"
Engineering	wifi	"37.07464593,-93.25451434"
Training	wifi	"37.19169888,-93.19711859"
Support	wifi	"37.23647371,-93.38410835"
Product Management	wifi	"37.1946257,-93.40870129"
Business Development	wifi	"37.24960796,-93.2900624"
Support	wifi	"37.22623914,-93.19902431"
Support	wifi	"37.26247329,-93.25334682"
Marketing	wifi	"37.11977892,-93.20403456"
Training	wifi	"37.13321344,-93.44421043"
Services	wifi	"37.34934989,-93.31970348"
Support	wifi	"37.28099659,-93.14173425"
Business Development	wifi	"37.25912185,-93.26575043"
Support	wifi	"37.09454894,-93.3205613"
Human Resources	wifi	"37.19011822,-93.22138574"
Business Development	wifi	"37.2896407,-93.23702852"
Engineering	wifi	"37.08382764,-93.36414213"
Human Resources	wifi	"37.23919805,-93.22784102"
Product Management	wifi	"37.256984,-93.32820896"
Legal	wifi	"37.10775257,-93.18119529"
Sales	wifi	"37.25208892,-93.46343661"
Training	wifi	"37.26969887,-93.18218336"
Marketing	wifi	"37.31182557,-93.30874258"
Sales	wifi	"37.12091806,-93.17891023"
Sales	wifi	"37.27549554,-93.25930434"
Sales	wifi	"37.18043511,-93.2764942"
Support	wifi	"37.29275294,-93.40837677"
Marketing	wifi	"37.29399311,-93.33943841"
Services	wifi	"37.28511902,-93.18960429"
Sales	wifi	"37.18776641,-93.29314642"
Legal	wifi	"37.17524487,-93.4100962"
Product Management	wifi	"37.08574456,-93.32583387"
Legal	wifi	"37.33844138,-93.31088526"
Support	wifi	"37.26218149,-93.27614987"
Accounting	wifi	"37.10714793,-93.28505983"
Engineering	wifi	"37.12794486,-93.37482575"
Engineering	wifi	"37.27020299,-93.32878273"
Accounting	wifi	"37.08707116,-93.377621"
Research and Development	wifi	"37.12903417,-93.19357363"
Marketing	wifi	"37.11262363,-93.35343793"
Research and Development	wifi	"37.25277944,-93.31173703"
Research and Development	wifi	"37.33812297,-93.21363457"
Research and Development	wifi	"37.12718678,-93.2242364"
Accounting	wifi	"37.14746559,-93.45158147"
Marketing	wifi	"37.31715663,-93.25996311"
Engineering	wifi	"37.14044663,-93.39291083"
Human Resources	wifi	"37.16661829,-93.42581784"
Product Management	wifi	"37.09885466,-93.25793236"
Accounting	wifi	"37.07208412,-93.32759604"
Support	wifi	"37.13018635,-93.32003489"
Support	wifi	"37.20157452,-93.21660482"
Accounting	wifi	"37.2294148,-93.22599244"
Legal	wifi	"37.18770042,-93.14355109"
Sales	wifi	"37.20938431,-93.25891744"
Human Resources	wifi	"37.12657541,-93.14424132"
Legal	wifi	"37.32314069,-93.40267473"
Human Resources	wifi	"37.08528728,-93.28285945"
Sales	wifi	"37.1350323,-93.38731939"
Marketing	wifi	"37.15045166,-93.41290909"
Support	wifi	"37.09922335,-93.28644576"
Accounting	wifi	"37.30540902,-93.16304593"
Support	wifi	"37.15961235,-93.26709874"
Marketing	wifi	"37.23344465,-93.23761266"
Sales	wifi	"37.23758133,-93.44862068"
Research and Development	wifi	"37.20642502,-93.16489436"
Human Resources	wifi	"37.33912583,-93.29437631"
Engineering	wifi	"37.28258747,-93.4442015"
Training	wifi	"37.2184249,-93.21185088"
Product Management	wifi	"37.22091153,-93.25697636"
Product Management	wifi	"37.19933435,-93.20230992"
Business Development	wifi	"37.15284726,-93.13328036"
Accounting	wifi	"37.22481602,-93.42532951"
Marketing	wifi	"37.30953022,-93.23032798"
Engineering	wifi	"37.10457857,-93.35208399"
Product Management	wifi	"37.15806734,-93.42383345"
Engineering	wifi	"37.16749324,-93.39942243"
Forest Dale	wifi	"37.29060296,-93.4188778"
Transport	wifi	"37.2398613,-93.23062614"
Loeprich	wifi	"37.06933892,-93.31750195"
Cambridge	wifi	"37.14815041,-93.19577033"
Mayer	wifi	"37.25621858,-93.41076266"
Hanson	wifi	"37.27179813,-93.41081727"
Shasta	wifi	"37.20363455,-93.16918452"
Spaight	wifi	"37.19426663,-93.17619943"
Lindbergh	wifi	"37.24749818,-93.17417591"
Sloan	wifi	"37.1698496,-93.41587909"
Del Sol	wifi	"37.15850656,-93.30908631"
Autumn Leaf	wifi	"37.09591379,-93.21188824"
Dwight	wifi	"37.13894392,-93.42174313"
Claremont	wifi	"37.27047571,-93.20995692"
Barnett	wifi	"37.24567469,-93.20704219"
Schlimgen	wifi	"37.26565712,-93.36159319"
Northland	wifi	"37.26251394,-93.2751421"
Macpherson	wifi	"37.1506603,-93.25569805"
Reindahl	wifi	"37.27345281,-93.13555248"
Mendota	wifi	"37.12673487,-93.41798244"
Lakewood	wifi	"37.17924213,-93.22205195"
Farragut	wifi	"37.22693526,-93.41267042"
Hallows	wifi	"37.13532721,-93.28206757"
Gina	wifi	"37.35118366,-93.30304833"
Havey	wifi	"37.21697282,-93.43941749"
East	wifi	"37.1319213,-93.40814708"
Autumn Leaf	wifi	"37.2482577,-93.42485172"
Westridge	wifi	"37.316486,-93.178001"
Arrowood	wifi	"37.23372267,-93.39934816"
Armistice	wifi	"37.2142555,-93.38989787"
Village Green	wifi	"37.25900631,-93.16223391"
Sachs	wifi	"37.20365618,-93.35707638"
Evergreen	wifi	"37.27049152,-93.28998172"
Dayton	wifi	"37.24663812,-93.4447044"
Green	wifi	"37.12503964,-93.43000379"
Saint Paul	wifi	"37.28891269,-93.31504198"
Emmet	wifi	"37.15661559,-93.44930431"
Lakewood	wifi	"37.2325144,-93.16146652"
Hintze	wifi	"37.09077744,-93.26901014"
Shelley	wifi	"37.06993662,-93.24840812"
Eagan	wifi	"37.16782702,-93.16803712"
Evergreen	wifi	"37.29109728,-93.15506609"
Sutherland	wifi	"37.1789604,-93.20436064"
Stoughton	wifi	"37.17981625,-93.42225071"
Lotheville	wifi	"37.16078176,-93.20469209"
Columbus	wifi	"37.17999356,-93.3788898"
Schlimgen	wifi	"37.30424166,-93.24676453"
Acker	wifi	"37.33973077,-93.30409523"
Lighthouse Bay	wifi	"37.14890208,-93.21212269"
Portage	wifi	"37.14188001,-93.41199224"
Menomonie	wifi	"37.15275438,-93.16764695"
Bartillon	wifi	"37.27938497,-93.4437545"
Schmedeman	wifi	"37.33019553,-93.36380706"
Hollow Ridge	wifi	"37.15817272,-93.20546178"
Sutteridge	wifi	"37.12918856,-93.3381496"
Summerview	wifi	"37.21704804,-93.46723752"
Atwood	wifi	"37.19194298,-93.18725121"
Hazelcrest	wifi	"37.18745921,-93.37656315"
Loeprich	wifi	"37.13175232,-93.2019564"
Armistice	wifi	"37.16494587,-93.1345715"
Ilene	wifi	"37.08845919,-93.24561668"
Pine View	wifi	"37.14469147,-93.30636612"
Larry	wifi	"37.15776343,-93.42031508"
Burrows	wifi	"37.14738708,-93.21026422"
Springs	wifi	"37.13015256,-93.23072362"
Eggendart	wifi	"37.13821383,-93.29999965"
Petterle	wifi	"37.34724292,-93.29328213"
Cascade	wifi	"37.13359873,-93.38510037"
Dottie	wifi	"37.10507321,-93.40376982"
Morrow	wifi	"37.09877038,-93.20872202"
Farwell	wifi	"37.17130455,-93.46568066"
Service	wifi	"37.1514843,-93.37815766"
Brickson Park	wifi	"37.16541438,-93.16770259"
Glendale	wifi	"37.31059962,-93.21927422"
Stang	wifi	"37.15593613,-93.36269826"
Bobwhite	wifi	"37.10099741,-93.40268711"
Weeping Birch	wifi	"37.27235937,-93.14152568"
7th	wifi	"37.1683546,-93.41067573"
Myrtle	wifi	"37.31109141,-93.1950007"
Debra	wifi	"37.23313543,-93.25803956"
Shoshone	wifi	"37.13232507,-93.17348628"
Saint Paul	wifi	"37.11905607,-93.3344474"
Summer Ridge	wifi	"37.10027473,-93.21139969"
Westridge	wifi	"37.1471484,-93.33262398"
Waubesa	wifi	"37.28270513,-93.15079264"
Arapahoe	wifi	"37.31896329,-93.28817862"
Lake View	wifi	"37.15564083,-93.44512035"
Hollow Ridge	wifi	"37.17019635,-93.22987691"
Stephen	wifi	"37.23206846,-93.34026777"
Warner	wifi	"37.22924494,-93.40155518"
Welch	wifi	"37.16041179,-93.41044993"
Erie	wifi	"37.16624996,-93.43630514"
Elgar	wifi	"37.21383398,-93.22240926"
Bartelt	wifi	"37.29149005,-93.43452134"
Katie	wifi	"37.14969371,-93.27812518"
Oak	wifi	"37.33992584,-93.22231891"
Jenifer	wifi	"37.21747079,-93.12130675"
Esch	wifi	"37.28335213,-93.18582333"
Moland	wifi	"37.19620575,-93.28764397"
Crowley	wifi	"37.13674861,-93.24508155"
Hermina	wifi	"37.30614597,-93.25331685"
Waxwing	wifi	"37.32370765,-93.39274209"
Donald	wifi	"37.35147146,-93.2680501"
Steensland	wifi	"37.20687014,-93.38770313"
Holmberg	wifi	"37.18982287,-93.42873568"
Maywood	wifi	"37.20891877,-93.19348596"
Briar Crest	wifi	"37.22975497,-93.34614647"
Union	wifi	"37.07716549,-93.32282841"
Dennis	wifi	"37.20771695,-93.4356845"
Hoard	wifi	"37.19357965,-93.20968135"
Barnett	wifi	"37.27283356,-93.38955713"
Northview	wifi	"37.28147561,-93.38046526"
Boyd	wifi	"37.27476712,-93.28801826"
Stuart	wifi	"37.2346721,-93.22817986"
Florence	wifi	"37.14893284,-93.34910702"
Birchwood	wifi	"37.30168935,-93.43024869"
Bobwhite	wifi	"37.19227715,-93.44469645"
Menomonie	wifi	"37.3270132,-93.26127173"
Coleman	wifi	"37.31869466,-93.31869475"
Becker	wifi	"37.12447616,-93.24522682"
Grover	wifi	"37.27380843,-93.42014232"
6th	wifi	"37.10304854,-93.2823626"
Amoth	wifi	"37.23519824,-93.35443388"
Erie	wifi	"37.23952914,-93.14610797"
Pine View	wifi	"37.17021043,-93.23458426"
Schlimgen	wifi	"37.26877086,-93.1523417"
Anniversary	wifi	"37.06456308,-93.29291537"
Veith	wifi	"37.18145664,-93.14375246"
Sheridan	wifi	"37.29027271,-93.27166973"
Luster	wifi	"37.20408212,-93.18524529"
Buell	wifi	"37.10939488,-93.28410036"
Hallows	wifi	"37.27182702,-93.28344336"
Mosinee	wifi	"37.20995771,-93.41681284"
Charing Cross	wifi	"37.07090726,-93.33302763"
Hazelcrest	wifi	"37.11817902,-93.41394705"
Kropf	wifi	"37.28175703,-93.27531653"
Monica	wifi	"37.19869874,-93.27884347"
Schmedeman	wifi	"37.13114375,-93.39549481"
Lindbergh	wifi	"37.07039833,-93.28989203"
Texas	wifi	"37.10510299,-93.36599684"
Sullivan	wifi	"37.25757868,-93.33959201"
Old Gate	wifi	"37.10775407,-93.23944027"
Aberg	wifi	"37.24227127,-93.1920362"
Rockefeller	wifi	"37.14393016,-93.17929724"
Brentwood	wifi	"37.15283641,-93.4380629"
Hoard	wifi	"37.09654967,-93.21842488"
Dayton	wifi	"37.22521447,-93.26951877"
American	wifi	"37.19869008,-93.18716479"
Nevada	wifi	"37.15529664,-93.36742267"
Schmedeman	wifi	"37.24552246,-93.39861092"
Lukken	wifi	"37.20616812,-93.32149529"
Morning	wifi	"37.14915312,-93.42731063"
Pennsylvania	wifi	"37.31400908,-93.30725039"
Granby	wifi	"37.25904025,-93.35134148"
Forest Dale	wifi	"37.2464863,-93.30565819"
Mccormick	wifi	"37.14750847,-93.31121885"
Oriole	wifi	"37.18980297,-93.35706185"
Stang	wifi	"37.27943247,-93.37853548"
Delaware	wifi	"37.13786372,-93.30168476"
Blackbird	wifi	"37.1841706,-93.1724792"
Lakewood Gardens	wifi	"37.29486223,-93.29210348"
Portage	wifi	"37.31269747,-93.25043464"
Browning	wifi	"37.14744442,-93.15838793"
Summer Ridge	wifi	"37.10866691,-93.33854438"
Paget	wifi	"37.22689323,-93.21092959"
Marquette	wifi	"37.27246392,-93.45058751"
Mallory	wifi	"37.25607578,-93.27403312"
Myrtle	wifi	"37.20234201,-93.37546214"
Shopko	wifi	"37.27236381,-93.38650752"
Basil	wifi	"37.29030275,-93.35023795"
Dennis	wifi	"37.25906901,-93.37152132"
Gulseth	wifi	"37.2235207,-93.22467356"
Ramsey	wifi	"37.13443513,-93.39362001"
Pankratz	wifi	"37.15729367,-93.41924607"
Brickson Park	wifi	"37.26069716,-93.35251768"
Northridge	wifi	"37.32568761,-93.22799452"
Warner	wifi	"37.20816552,-93.26935891"
Crowley	wifi	"37.15595127,-93.17963329"
Brown	wifi	"37.16579015,-93.38656273"
Clove	wifi	"37.33489183,-93.26871046"
Rockefeller	wifi	"37.0754583,-93.23093163"
Hazelcrest	wifi	"37.25808107,-93.39464249"
Moose	wifi	"37.28872438,-93.21824956"
Eagan	wifi	"37.14784395,-93.20861297"
South	wifi	"37.2324373,-93.27832802"
